ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,PRODUCTCODE
10280,50,100,9,5239.5,S18_1342
10280,26,100,16,3668.6,S18_1749
10280,37,100,13,4750.8,S18_2325
10280,22,100,10,4455,S18_2795
10280,46,100,3,5126.24,S18_2949
10280,29,100,4,3006.43,S18_3136
10280,34,100,7,3474.46,S18_3320
10280,35,100,17,3704.05,S18_4409
10293,24,100,4,2819.28,S18_3140
10293,49,100,3,4946.06,S18_4522
10391,37,46.9,7,1735.3,S10_4962
10169,34,50.21,1,1707.14,S24_3371
10148,47,56.85,8,2671.95,S24_1628
10370,27,56.85,9,1534.95,S18_3232
10148,25,60.26,6,1506.5,S24_1046
10169,36,63.84,3,2298.24,S12_3990
10370,35,65.63,4,2297.05,S10_4962
10169,32,70.76,5,2264.32,S18_3278
10148,21,73.6,4,1545.6,S24_2766
10148,31,73.62,5,2282.22,S24_3191
10148,29,81.25,2,2356.25,S18_4933
10169,24,94.58,6,2269.92,S24_4620
10148,23,100,13,2702.04,S18_1129
10148,47,100,9,5848.68,S18_1589
10148,25,100,12,4232,S18_1984
10148,27,100,10,3528.36,S18_2870
10148,32,100,14,5418.88,S18_3232
10148,28,100,11,3639.44,S18_3685
10148,34,100,3,4392.12,S24_2887
10148,27,100,7,3469.5,S24_3432
10169,30,100,2,5019.9,S12_1099
10169,36,100,4,4444.92,S18_3482
10169,33,100,7,4910.4,S18_4721
10391,24,100,4,2416.56,S10_1949
10169,26,39.83,9,1035.58,S32_2206
10169,38,68.39,8,2598.82,S18_3782
10169,38,74.11,11,2816.18,S24_2360
10169,48,80.55,10,3866.4,S50_4713
10169,35,100,13,4639.25,S12_2823
10169,34,100,12,3920.88,S32_4485
10391,44,38.5,5,1694,S18_2432
10370,29,57.53,6,1668.37,S18_4600
10391,39,63.2,9,2464.8,S12_1666
10391,29,85.1,10,2467.9,S18_1097
10370,22,96.86,7,2130.92,S18_2432
10370,49,100,8,8470.14,S12_1666
10370,27,100,1,3911.49,S18_1097
10370,22,100,5,3949,S18_2319
10370,25,100,3,3160.25,S32_3522
10391,32,45.25,6,1448,S18_2949
10148,34,100,1,3598.22,S18_4409
10370,20,100,2,2730,S18_4668
10391,35,100,2,5548.9,S18_1342
10391,42,100,3,4998,S18_1367
10391,33,100,8,8344.71,S24_1937
10391,24,100,1,4042.08,S24_2022
10123,50,59.87,1,2993.5,S24_1628
10123,26,100,2,3073.72,S18_1589
10123,46,100,3,5161.2,S18_2870
10123,34,100,4,5331.88,S18_3685
10298,32,48.46,2,1550.72,S18_2625
10298,39,96.34,1,3757.26,S10_2016
10345,43,53.76,1,2311.68,S24_2022
10193,25,76.26,16,1906.5,S18_4933
10265,45,86.84,2,3907.8,S18_3278
10265,49,100,1,8427.02,S18_3482
10193,26,29.21,10,759.46,S24_1937
10193,22,41.03,12,902.66,S24_3969
10193,20,50.62,9,1012.4,S24_2022
10193,24,51.84,3,1244.16,S18_2957
10193,46,53.37,6,2455.02,S18_1367
10193,42,59.33,13,2491.86,S18_2248
10193,32,79.37,5,2539.84,S18_3320
10193,28,93.21,1,2609.88,S18_2949
10193,24,97.55,15,2341.2,S18_4409
10193,28,100,7,3106.88,S18_1342
10193,21,100,14,3141.6,S18_1749
10193,44,100,11,4642.88,S18_2325
10193,22,100,8,3675.32,S18_2795
10193,23,100,2,2769.89,S18_3136
10193,20,100,4,2279,S24_4258
10342,39,40.4,9,1575.6,S24_2972
10342,48,62.45,10,2997.6,S24_3371
10342,55,65.45,1,3599.75,S18_1889
10342,25,66.74,5,1668.5,S18_3278
10342,40,100,2,6454.4,S18_1129
10342,22,100,3,3160.74,S18_1984
10342,30,100,4,5029.5,S18_3232
10342,55,100,7,6548.3,S18_3482
10342,38,100,11,6276.46,S18_4721
10342,42,100,6,5013.54,S24_3856
10347,30,100,1,3944.7,S10_1949
10347,27,100,2,4428,S10_4962
10342,26,55.95,8,1454.7,S18_3782
10120,46,58.15,4,2674.9,S18_2625
10223,28,60.57,5,1695.96,S18_2625
10223,38,69.31,6,2633.78,S24_2000
10120,34,83.79,5,2848.86,S24_2000
10223,32,91.29,2,2921.28,S24_1578
10120,29,96.34,3,2793.86,S10_2016
10120,35,98.05,1,3431.75,S24_1578
10120,46,100,2,9264.86,S10_4698
10120,22,100,6,2461.36,S32_1374
10223,37,100,1,3965.66,S10_1678
10223,47,100,4,5422.39,S10_2016
10223,49,100,3,9774.03,S10_4698
10223,21,100,7,2475.27,S32_1374
10223,26,67.2,15,1747.2,S700_3167
10120,29,71.81,8,2082.49,S18_2581
10223,23,74.62,10,1716.26,S24_4278
10120,43,76,14,3268,S700_3167
10120,47,82.21,13,3863.87,S700_1691
10120,29,85.49,9,2479.21,S24_4278
10120,39,100,10,4651.53,S24_1785
10120,24,100,15,2584.8,S700_2466
10120,24,100,7,3417.12,S700_2834
10223,47,100,9,4724.91,S18_2581
10223,34,100,11,3608.76,S24_1785
10223,25,100,14,2534.75,S700_1691
10223,29,100,8,3199.86,S700_2834
10347,42,49.6,5,2083.2,S18_1097
10347,29,100,3,3586.43,S12_1666
10347,50,100,8,6834.5,S18_2432
10347,45,100,4,5884.65,S18_4600
10223,41,46.26,13,1896.66,S50_1341
10120,49,50.62,12,2480.38,S50_1341
10347,21,58.95,7,1237.95,S18_1367
10347,34,64.96,10,2208.64,S18_2957
10223,20,66.04,12,1320.8,S32_4289
10120,29,72.23,11,2094.67,S32_4289
10125,32,100,1,3254.72,S18_1342
10125,34,100,2,6483.46,S18_2795
10347,21,100,6,4815.3,S18_2795
10347,48,100,9,4814.4,S18_2949
10347,45,100,11,4948.2,S18_3136
10347,26,100,12,2656.94,S18_3320
10152,25,65.31,4,1632.75,S24_1444
10152,35,100,1,4524.1,S18_4027
10152,23,100,3,2802.09,S24_4048
10174,34,100,4,8014.82,S10_1949
10374,22,53.3,4,1172.6,S18_2625
10374,39,100,5,5288.01,S10_2016
10374,22,100,1,3834.38,S10_4698
10374,38,100,6,4197.1,S24_1578
10374,42,69.27,2,2909.34,S18_2581
10374,46,94.1,3,4328.6,S24_1785
10152,33,50.95,2,1681.35,S32_3207
10174,48,93.34,3,4480.32,S18_1097
10174,43,100,1,6817.22,S12_1666
10174,49,44.78,2,2194.22,S18_4668
10174,46,100,5,5592.22,S18_2949
10304,47,100,6,10172.7,S10_1949
10304,40,100,1,4208,S700_2824
10304,36,73.04,2,2629.44,S32_3522
10304,46,98,5,4508,S18_1097
10216,43,100,1,5759.42,S12_1666
10304,39,100,3,6396,S12_1666
10304,23,30.2,16,694.6,S24_1937
10304,44,39.42,15,1734.48,S24_2022
10304,37,48.52,12,1795.24,S18_1367
10304,34,49.3,4,1676.2,S18_4668
10304,24,64.96,9,1559.04,S18_2957
10304,26,85.87,8,2232.62,S18_3136
10304,37,95.55,13,3535.35,S18_1342
10304,24,100,17,2440.8,S18_2325
10304,20,100,14,3577.6,S18_2795
10304,46,100,7,4613.8,S18_2949
10304,38,100,11,3958.46,S18_3320
10304,33,100,10,3342.57,S24_4258
10211,48,48.98,1,2351.04,S24_3371
10252,20,76.39,2,1527.8,S18_3278
10211,35,78,5,2730,S18_3278
10252,38,87.31,3,3317.78,S24_4620
10211,22,92.16,6,2027.52,S24_4620
10211,28,92.57,3,2591.96,S12_3990
10211,41,100,2,7498.9,S12_1099
10211,28,100,4,3745.28,S18_3482
10211,41,100,7,5673.58,S18_4721
10252,41,100,1,6749.83,S18_3482
10252,26,100,4,3559.4,S18_4721
10211,41,42.24,9,1731.84,S32_2206
10252,36,48.28,6,1738.08,S32_2206
10252,31,52.84,5,1638.04,S18_3782
10211,46,54.09,8,2488.14,S18_3782
10402,55,55.72,2,3064.6,S18_2625
10211,21,63.72,11,1338.12,S24_2360
10252,47,65.8,8,3092.6,S24_2360
10252,48,72.41,7,3475.68,S50_4713
10211,40,80.55,10,3222,S50_4713
10402,59,87.6,3,5168.4,S24_2000
10211,25,90.16,15,2254,S24_1578
10211,41,100,14,4708.44,S10_1678
10211,36,100,13,4771.8,S12_2823
10211,37,100,12,4040.03,S32_4485
10252,25,100,9,2832,S32_4485
10402,45,100,1,5833.8,S10_2016
10352,49,52.64,4,2579.36,S72_1253
10352,22,75.51,1,1661.22,S700_4002
10352,49,100,2,4935.28,S700_2466
10130,40,96.34,2,3853.6,S18_3029
10352,23,100,3,2352.67,S700_2047
10290,26,96.23,2,2501.98,S18_3320
10130,33,100,1,3423.75,S18_3856
10290,45,100,1,5171.4,S24_4258
10332,45,34.19,12,1538.55,S24_3191
10332,31,37.18,13,1152.58,S24_3432
10332,44,42.26,11,1859.44,S24_2887
10332,23,56.84,4,1307.32,S24_1046
10110,29,59.37,15,1721.73,S24_1628
10110,42,61.29,9,2574.18,S18_4933
10110,27,73.62,12,1987.74,S24_3191
10110,43,78.15,11,3360.45,S24_2766
10110,36,85.25,13,3069,S24_1046
10332,39,86.72,7,3382.08,S24_2766
10332,20,87.96,5,1759.2,S24_1628
10110,37,100,16,5433.08,S18_1589
10110,46,100,10,5942.28,S24_2887
10110,37,100,14,3724.42,S24_3432
10306,31,100,13,6570.76,S12_1108
10306,34,100,14,4982.7,S12_3148
10306,20,100,12,3633.4,S12_3891
10306,23,100,16,3600.65,S18_4027
10332,21,100,3,3472.98,S18_4933
10306,50,54,3,2700,S700_1138
10306,35,59.51,6,2082.85,S72_3212
10306,43,75.17,1,3232.31,S700_2610
10306,32,90.15,4,2884.8,S700_3505
10306,38,91.81,10,3488.78,S700_1938
10306,29,100,7,3207.4,S24_2011
10306,30,100,5,3515.7,S700_3962
10306,46,50.33,17,2315.18,S32_3207
10306,34,60.34,15,2051.56,S50_1514
10306,40,91.76,11,3670.4,S18_3259
10110,48,34.47,5,1654.56,S24_3969
10110,20,35.51,3,710.2,S24_1937
10332,40,39.8,18,1592,S18_3136
10110,39,44.35,2,1729.65,S24_2022
10110,32,50.25,6,1608,S18_2248
10332,24,52.67,1,1264.08,S18_2795
10332,35,64.69,8,2264.15,S18_2325
10332,41,77.24,14,3166.84,S24_3969
10332,45,81.91,6,3685.95,S24_1937
10306,31,84.08,2,2606.48,S24_3151
10332,38,84.25,9,3201.5,S18_2248
10332,26,85.52,10,2223.52,S24_2022
10110,28,89.27,8,2499.56,S18_4409
10332,27,89.89,16,2427.03,S18_1367
10306,39,90.4,8,3525.6,S18_4522
10332,46,95.13,15,4375.98,S18_1342
10110,42,100,7,6069,S18_1749
10110,33,100,4,3859.68,S18_2325
10110,31,100,1,5074.39,S18_2795
10306,32,100,9,3759.04,S18_3140
10332,26,100,17,2979.08,S18_2957
10332,50,100,2,7310,S18_4409
10325,42,64,8,2688,S12_1108
10325,47,64.93,6,3051.71,S10_4757
10103,26,100,11,5404.62,S10_1949
10103,42,100,4,5398.26,S10_4962
10103,42,100,6,4460.82,S700_2824
10325,24,100,1,2583.6,S12_3891
10325,44,100,5,5325.76,S24_4048
10309,24,56.1,2,1346.4,S24_2360
10158,22,67.03,1,1474.66,S24_2000
10309,50,84.7,3,4235,S32_4485
10309,28,88.68,1,2483.04,S50_4713
10309,41,100,5,4394.38,S10_1678
10309,26,100,4,4660.24,S12_2823
10309,21,100,6,2650.62,S24_1578
10325,28,100,2,5377.4,S32_3207
10325,44,100,7,5932.96,S50_1514
10103,22,54.09,2,1189.98,S18_2432
10103,45,75.63,7,3403.35,S32_3522
10103,27,100,8,3394.98,S12_1666
10103,35,100,10,3920,S18_1097
10103,36,100,5,4228.2,S18_4600
10103,36,100,1,3680.28,S24_2300
10103,31,100,3,3224.31,S32_1268
10325,38,100,3,8844.12,S32_2509
10325,38,100,4,5190.42,S50_1392
10103,41,47.29,9,1938.89,S18_4668
10103,35,57.46,14,2011.1,S18_2957
10325,24,69.12,9,1658.88,S18_3140
10103,27,83.07,12,2242.89,S18_2949
10103,25,100,13,2539.5,S18_3136
10103,46,100,16,4791.82,S18_3320
10103,25,100,15,2873,S24_4258
10296,21,45.19,10,948.99,S72_1253
10296,21,71.25,8,1496.25,S24_2841
10296,32,71.65,6,2292.8,S24_3949
10296,22,80.8,3,1777.6,S700_3167
10296,47,86.62,5,4071.14,S700_4002
10296,36,100,7,5676.84,S18_1662
10296,42,100,2,4296.6,S700_1691
10296,24,100,4,2441.04,S700_2466
10296,21,96.34,13,2023.14,S18_3029
10296,34,100,11,3477.86,S700_2047
10296,26,48.44,1,1259.44,S50_1341
10296,31,53.92,9,1671.52,S24_3420
10296,22,77.15,14,1697.3,S24_3816
10296,22,84.7,12,1863.4,S18_3856
10230,36,54.33,6,1955.88,S24_1444
10300,31,58.78,4,1822.18,S24_3371
10300,22,76.61,6,1685.42,S12_3990
10300,49,78.8,8,3861.2,S18_3278
10300,41,92.4,1,3788.4,S18_1889
10230,43,100,1,7016.31,S12_3148
10230,49,100,8,7300.51,S18_2238
10230,42,100,3,7238.28,S18_4027
10230,45,100,5,4737.15,S24_4048
10300,33,100,5,5521.89,S12_1099
10300,29,100,3,3984.6,S12_3380
10300,23,100,2,2807.61,S12_4675
10300,23,100,7,3786.49,S18_3482
10230,43,52.14,2,2242.02,S50_1514
10230,46,60.9,4,2801.4,S32_3207
10230,34,100,7,3974.94,S50_1392
10323,47,100,1,6203.06,S18_4600
10101,45,31.2,3,1404,S24_1937
10101,46,53.76,2,2472.96,S24_2022
10323,33,91.27,2,3011.91,S18_3320
,,,,,
10101,25,100,4,3782,S18_2325
10101,26,100,1,3773.38,S18_2795
10376,35,100,1,3987.2,S12_3380
10154,36,64.33,1,2315.88,S700_2610
,,,,,
10154,31,91.17,2,2826.27,S24_3151
10231,42,100,2,8378.58,S12_1108
10231,49,100,1,6952.12,S12_3891
10177,40,50.23,6,2009.2,S72_3212
10177,24,76,3,1824,S700_1138
10177,32,76.62,1,2451.84,S700_2610
10177,31,88.34,10,2738.54,S700_1938
10177,44,92.16,4,4055.04,S700_3505
10177,50,100,7,6083,S24_2011
10177,24,100,5,2526.48,S700_3962
10177,29,100,11,3070.52,S18_3259
10177,45,72.58,2,3266.1,S24_3151
10177,35,74.6,8,2611,S18_4522
10177,23,100,9,3675.63,S18_3140
10228,29,100,2,6463.23,S10_1949
10249,32,57.61,3,1843.52,S72_1253
10249,20,67.82,1,1356.4,S24_2841
10249,40,95.95,4,3838,S700_2047
10228,32,100,1,3360,S18_1097
10228,45,63.71,5,2866.95,S18_2957
10249,25,69.7,2,1742.5,S24_3420
10228,24,100,3,2504.4,S18_2949
10228,31,100,4,3181.53,S18_3136
10228,33,100,6,3406.59,S24_4258
10249,46,100,5,5600.5,S18_3856
10313,30,99.13,9,2973.9,S700_2824
10206,47,100,6,9064.89,S10_1949
10206,33,100,1,3871.89,S700_2824
10313,40,100,7,6678,S10_4962
10313,25,100,3,4572.25,S18_3232
10313,38,45.45,1,1727.1,S32_2509
10313,34,52.87,5,1797.58,S18_2432
10313,34,56.24,10,1912.16,S32_3522
10206,36,58.82,2,2117.52,S32_3522
10313,27,87.64,6,2366.28,S32_1268
10206,28,100,3,4056.36,S12_1666
10206,34,100,5,3966.78,S18_1097
10313,21,100,11,2669.1,S12_1666
10313,29,100,2,3416.78,S18_2319
10313,28,100,8,2881.76,S18_4600
10313,42,100,4,5581.8,S24_2300
10206,21,53.33,4,1119.93,S18_4668
10206,28,67.46,9,1888.88,S18_2957
10206,28,87.3,11,2444.4,S18_3320
10206,37,90.17,7,3336.29,S18_2949
10206,33,97.39,10,3213.87,S24_4258
10206,30,100,8,3581.4,S18_3136
10183,23,86.99,3,2000.77,S700_2824
10183,23,100,8,5372.57,S10_1949
10183,28,100,1,3433.36,S10_4962
10307,22,100,9,2692.8,S10_4757
10307,34,53.63,4,1823.42,S72_1253
10307,25,75.36,2,1884,S24_2841
10307,39,100,1,7379.97,S18_1662
10307,31,83.44,7,2586.64,S18_3029
10307,34,97.76,5,3323.84,S700_2047
10183,49,64.64,4,3167.36,S32_3522
10183,21,96.84,7,2033.64,S18_1097
10183,41,100,5,6163.94,S12_1666
10183,21,100,2,2441.04,S18_4600
10183,40,49.3,6,1972,S18_4668
10183,39,68.08,11,2655.12,S18_2957
10307,22,71.67,3,1576.74,S24_3420
10307,48,86.81,6,4166.88,S18_3856
10183,37,89.15,9,3298.55,S18_2949
10307,22,91.41,8,2011.02,S24_3816
10183,22,100,10,2488.2,S18_3136
10183,47,100,12,5035.11,S24_4258
10337,25,48.05,8,1201.25,S10_4757
10115,47,69.36,2,3259.92,S24_1444
10115,46,100,4,7381.16,S18_2238
10115,44,100,1,5568.64,S24_4048
10163,21,100,1,4860.24,S10_1949
10337,36,100,3,5679.36,S18_4027
10337,36,70.3,9,2530.8,S700_1938
10337,36,71.89,7,2588.04,S700_3962
10337,29,71.97,4,2087.13,S24_2011
10337,31,89.38,1,2770.78,S700_3505
10337,42,97.16,5,4080.72,S72_3212
10337,21,100,6,2296.77,S50_1514
10115,46,100,5,5723.78,S12_4473
10115,27,100,3,2843.91,S50_1392
10163,48,69.96,4,3358.08,S18_2957
10163,42,91.55,5,3845.1,S24_4258
10163,31,100,2,3329.09,S18_2949
10163,40,100,3,4900.8,S18_3136
10163,43,100,6,4991.44,S18_3320
10337,29,100,2,4498.19,S18_4522
10220,26,56.07,8,1457.82,S24_1444
10220,32,100,2,7181.44,S12_1108
10220,30,100,3,4713.6,S12_3148
10220,27,100,1,5045.22,S12_3891
10220,50,100,5,8258,S18_4027
10220,37,100,7,5032.74,S24_4048
10297,32,65.51,1,2096.32,S24_2000
10297,26,100,2,2856.88,S32_1374
10297,23,72.45,5,1666.35,S24_4278
